"","graph_type","X1","X2","path","Questions"
"1","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the proportion of bmi between 23.6 and 24.9?"
"2","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the maximum of bmi?"
"3","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","Which interval has the highest frequency in bmi?"
"4","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the range of bmi?"
"5","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the mean of bmi?"
"6","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the standard deviation of bmi?"
"7","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","The proportion in bmi between 23.6 and 24.9 is larger than between 18.300000 and 19.600000."
"8","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the minimum of bmi?"
"9","boxplot","bmi",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-bmi.pdf","What is the median of bmi?"
"10","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the mean of GPA?"
"11","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the minimum of GPA?"
"12","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the standard deviation of GPA?"
"13","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the range of GPA?"
"14","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","The proportion in GPA between 2.9 and 3.1 is larger than between 1.900000 and 2.100000."
"15","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the proportion of GPA between 2.9 and 3.1?"
"16","boxplot","GPA",NA,"Graphs-synthetic_df/boxplot/synthetic_df-boxplot-GPA.pdf","What is the maximum of GPA?"
